flowCode,reporterCode,reporterISO,partnerCode,partnerISO,cmdCode,cmdDesc,qtyUnitAbbr,qty,fobvalue
X,76,BRA,0,W00,1001,Wheat and meslin,kg,617643500.0,102807663.0
X,76,BRA,12,DZA,1001,Wheat and meslin,kg,30719400.0,5538189.0
X,76,BRA,68,BOL,1001,Wheat and meslin,kg,27000.0,9676.0
X,76,BRA,360,IDN,1001,Wheat and meslin,kg,64431400.0,10309019.0
X,76,BRA,410,KOR,1001,Wheat and meslin,kg,250477800.0,41266810.0
X,76,BRA,478,MRT,1001,Wheat and meslin,kg,60500000.0,10416375.0
X,76,BRA,600,PRY,1001,Wheat and meslin,kg,48000.0,33195.0
X,76,BRA,620,PRT,1001,Wheat and meslin,kg,1000.0,1260.0
X,76,BRA,682,SAU,1001,Wheat and meslin,kg,62430400.0,10258615.0
X,76,BRA,704,VNM,1001,Wheat and meslin,kg,148973400.0,24962704.0
X,76,BRA,842,USA,1001,Wheat and meslin,kg,100.0,206.0
X,76,BRA,862,VEN,1001,Wheat and meslin,kg,35000.0,11614.0
X,76,BRA,0,W00,1004,Oats,kg,1896624.0,420738.0
X,76,BRA,68,BOL,1004,Oats,kg,34.0,132.0
X,76,BRA,392,JPN,1004,Oats,kg,150000.0,109500.0
X,76,BRA,600,PRY,1004,Oats,kg,31430.0,7072.0
X,76,BRA,710,ZAF,1004,Oats,kg,125000.0,66955.0
X,76,BRA,858,URY,1004,Oats,kg,1590160.0,237079.0
X,76,BRA,0,W00,1005,Maize (corn),N/A,0.0,4631045783.0
X,76,BRA,12,DZA,1005,Maize (corn),kg,493865930.0,78619482.0
X,76,BRA,24,AGO,1005,Maize (corn),kg,17885835.0,3286083.0
X,76,BRA,32,ARG,1005,Maize (corn),kg,2335267.312,7368989.0
X,76,BRA,50,BGD,1005,Maize (corn),kg,1016714632.0,158604367.0
X,76,BRA,56,BEL,1005,Maize (corn),kg,18000.0,4954.0
X,76,BRA,68,BOL,1005,Maize (corn),kg,4486657.0,2367788.0
X,76,BRA,92,VGB,1005,Maize (corn),kg,2242331.0,373793.0
X,76,BRA,100,BGR,1005,Maize (corn),N/A,0.0,70200.0
X,76,BRA,132,CPV,1005,Maize (corn),kg,30222.0,16793.0
X,76,BRA,152,CHL,1005,Maize (corn),kg,77960.0,48805.0
X,76,BRA,156,CHN,1005,Maize (corn),kg,17190486.0,2707162.0
X,76,BRA,170,COL,1005,Maize (corn),kg,2272412.0,7534891.0
X,76,BRA,188,CRI,1005,Maize (corn),kg,61414600.0,9485977.0
X,76,BRA,192,CUB,1005,Maize (corn),kg,110700000.0,17974445.0
X,76,BRA,214,DOM,1005,Maize (corn),kg,694240200.0,108546290.0
X,76,BRA,218,ECU,1005,Maize (corn),kg,823734.0,2237495.0
X,76,BRA,222,SLV,1005,Maize (corn),kg,78049000.0,11691521.0
X,76,BRA,226,GNQ,1005,Maize (corn),kg,2242.0,36965.0
X,76,BRA,231,ETH,1005,Maize (corn),kg,74920.0,36711.0
X,76,BRA,320,GTM,1005,Maize (corn),kg,131677971.0,20279272.0
X,76,BRA,328,GUY,1005,Maize (corn),kg,378000.0,51226.0
X,76,BRA,360,IDN,1005,Maize (corn),kg,111025580.0,17731140.0
X,76,BRA,364,IRN,1005,Maize (corn),kg,4832976289.0,782609155.0
X,76,BRA,372,IRL,1005,Maize (corn),kg,329079590.0,50349401.0
X,76,BRA,376,ISR,1005,Maize (corn),kg,320661300.0,50410675.0
X,76,BRA,380,ITA,1005,Maize (corn),kg,235048940.0,34581972.0
X,76,BRA,392,JPN,1005,Maize (corn),kg,2945943924.0,451950806.0
X,76,BRA,400,JOR,1005,Maize (corn),kg,163564880.0,24796593.0
X,76,BRA,410,KOR,1005,Maize (corn),kg,1716964080.0,264913835.0
X,76,BRA,414,KWT,1005,Maize (corn),kg,31595800.0,4566648.0
X,76,BRA,422,LBN,1005,Maize (corn),kg,62286639.0,9385832.0
X,76,BRA,458,MYS,1005,Maize (corn),kg,1494621537.0,232869212.0
X,76,BRA,478,MRT,1005,Maize (corn),kg,454320.0,82845.0
X,76,BRA,484,MEX,1005,Maize (corn),kg,562832915.0,90430062.0
X,76,BRA,490,S19,1005,Maize (corn),kg,1760043290.0,270285703.0
X,76,BRA,504,MAR,1005,Maize (corn),kg,484980800.0,75963173.0
X,76,BRA,508,MOZ,1005,Maize (corn),kg,2000.0,5200.0
X,76,BRA,512,OMN,1005,Maize (corn),kg,57761600.0,9000874.0
X,76,BRA,524,NPL,1005,Maize (corn),kg,328620.0,150801.0
X,76,BRA,528,NLD,1005,Maize (corn),kg,801673083.0,121939581.0
X,76,BRA,554,NZL,1005,Maize (corn),kg,20034.0,10720.0
X,76,BRA,558,NIC,1005,Maize (corn),kg,86939700.0,13201810.0
X,76,BRA,562,NER,1005,Maize (corn),kg,250000.0,128716.0
X,76,BRA,566,NGA,1005,Maize (corn),kg,405452.0,198774.0
X,76,BRA,586,PAK,1005,Maize (corn),kg,1425620.0,784672.0
X,76,BRA,600,PRY,1005,Maize (corn),kg,8743669.0,29440874.0
X,76,BRA,604,PER,1005,Maize (corn),kg,11098069.0,3745315.0
X,76,BRA,608,PHL,1005,Maize (corn),kg,33109574.0,5486360.0
X,76,BRA,620,PRT,1005,Maize (corn),kg,643886353.0,99984980.0
X,76,BRA,643,RUS,1005,Maize (corn),kg,525200.0,267454.0
X,76,BRA,678,STP,1005,Maize (corn),kg,270.0,131.0
X,76,BRA,682,SAU,1005,Maize (corn),kg,680763771.0,106663171.0
X,76,BRA,699,IND,1005,Maize (corn),kg,3938060.0,1874560.0
X,76,BRA,704,VNM,1005,Maize (corn),kg,2637305194.0,412219158.0
X,76,BRA,710,ZAF,1005,Maize (corn),kg,2449561.0,639336.0
X,76,BRA,724,ESP,1005,Maize (corn),kg,2868390430.0,436927252.0
X,76,BRA,729,SDN,1005,Maize (corn),kg,27624.0,272199.0
X,76,BRA,740,SUR,1005,Maize (corn),kg,85240.0,20227.0
X,76,BRA,764,THA,1005,Maize (corn),kg,2005950.0,338132.0
X,76,BRA,768,TGO,1005,Maize (corn),kg,103500.0,49680.0
X,76,BRA,780,TTO,1005,Maize (corn),kg,6523699.0,997278.0
X,76,BRA,784,ARE,1005,Maize (corn),kg,81400720.0,16272619.0
X,76,BRA,788,TUN,1005,Maize (corn),kg,58392360.0,9140569.0
X,76,BRA,792,TUR,1005,Maize (corn),kg,2329450.0,1084315.0
X,76,BRA,818,EGY,1005,Maize (corn),kg,3226016821.0,501039684.0
X,76,BRA,826,GBR,1005,Maize (corn),kg,59006381.0,9811023.0
X,76,BRA,842,USA,1005,Maize (corn),kg,124982774.0,29369588.0
X,76,BRA,858,URY,1005,Maize (corn),kg,6000.0,2168.0
X,76,BRA,862,VEN,1005,Maize (corn),kg,179454200.0,27708301.0
X,76,BRA,0,W00,1006,Rice,kg,624313730.0,244570172.0
X,76,BRA,12,DZA,1006,Rice,kg,100000.0,62358.0
X,76,BRA,24,AGO,1006,Rice,kg,3463420.0,2162095.0
X,76,BRA,28,ATG,1006,Rice,kg,472230.0,279562.0
X,76,BRA,32,ARG,1006,Rice,kg,234000.0,104238.0
X,76,BRA,44,BHS,1006,Rice,kg,449978.0,250768.0
X,76,BRA,52,BRB,1006,Rice,kg,1101713.0,587568.0
X,76,BRA,56,BEL,1006,Rice,kg,875000.0,309375.0
X,76,BRA,68,BOL,1006,Rice,kg,18824885.0,10448635.0
X,76,BRA,84,BLZ,1006,Rice,kg,39500.0,441449.0
X,76,BRA,120,CMR,1006,Rice,kg,9000.0,6837.0
X,76,BRA,124,CAN,1006,Rice,kg,1169980.0,620291.0
X,76,BRA,132,CPV,1006,Rice,kg,8947698.0,4841817.0
X,76,BRA,152,CHL,1006,Rice,kg,5602687.0,2557195.0
X,76,BRA,188,CRI,1006,Rice,kg,21634000.0,6360396.0
X,76,BRA,192,CUB,1006,Rice,kg,29000000.0,15675230.0
X,76,BRA,212,DMA,1006,Rice,kg,76198.0,41120.0
X,76,BRA,214,DOM,1006,Rice,kg,48800.0,23728.0
X,76,BRA,226,GNQ,1006,Rice,kg,225240.0,192769.0
X,76,BRA,270,GMB,1006,Rice,kg,65289440.0,20182533.0
X,76,BRA,275,PSE,1006,Rice,kg,46810.0,23533.0
X,76,BRA,276,DEU,1006,Rice,kg,55640.0,46557.0
X,76,BRA,308,GRD,1006,Rice,kg,39773.0,21379.0
X,76,BRA,320,GTM,1006,Rice,kg,699050.0,324672.0
X,76,BRA,328,GUY,1006,Rice,kg,734.0,1005.0
X,76,BRA,340,HND,1006,Rice,kg,1900000.0,946894.0
X,76,BRA,344,HKG,1006,Rice,kg,360.0,310.0
X,76,BRA,368,IRQ,1006,Rice,kg,150020.0,77412.0
X,76,BRA,376,ISR,1006,Rice,kg,351000.0,173227.0
X,76,BRA,380,ITA,1006,Rice,kg,597800.0,445697.0
X,76,BRA,392,JPN,1006,Rice,kg,4.0,9.0
X,76,BRA,422,LBN,1006,Rice,kg,191140.0,117266.0
X,76,BRA,440,LTU,1006,Rice,kg,167120.0,98853.0
X,76,BRA,478,MRT,1006,Rice,kg,100000.0,47056.0
X,76,BRA,516,NAM,1006,Rice,kg,674990.0,390264.0
X,76,BRA,528,NLD,1006,Rice,kg,105600.0,62976.0
X,76,BRA,531,CUW,1006,Rice,kg,1511950.0,787097.0
X,76,BRA,533,ABW,1006,Rice,kg,177092.0,84347.0
X,76,BRA,534,SXM,1006,Rice,kg,25301.0,15083.0
X,76,BRA,558,NIC,1006,Rice,kg,76041400.0,21575423.0
X,76,BRA,566,NGA,1006,Rice,kg,2237580.0,1790376.0
X,76,BRA,591,PAN,1006,Rice,kg,3462730.0,1775363.0
X,76,BRA,600,PRY,1006,Rice,kg,544927.0,323433.0
X,76,BRA,604,PER,1006,Rice,kg,77448430.0,41490063.0
X,76,BRA,620,PRT,1006,Rice,kg,334700.0,186166.0
X,76,BRA,624,GNB,1006,Rice,kg,2122150.0,690049.0
X,76,BRA,670,VCT,1006,Rice,kg,99970.0,50965.0
X,76,BRA,678,STP,1006,Rice,kg,131250.0,69563.0
X,76,BRA,682,SAU,1006,Rice,kg,8111050.0,4014538.0
X,76,BRA,686,SEN,1006,Rice,kg,113328200.0,35090082.0
X,76,BRA,694,SLE,1006,Rice,kg,78834200.0,23991612.0
X,76,BRA,705,SVN,1006,Rice,kg,40000.0,52720.0
X,76,BRA,710,ZAF,1006,Rice,kg,709000.0,328038.0
X,76,BRA,724,ESP,1006,Rice,kg,549848.0,259005.0
X,76,BRA,757,CHE,1006,Rice,kg,30162650.0,7108917.0
X,76,BRA,768,TGO,1006,Rice,kg,750000.0,277125.0
X,76,BRA,780,TTO,1006,Rice,kg,8480400.0,4259044.0
X,76,BRA,784,ARE,1006,Rice,kg,134452.0,76644.0
X,76,BRA,792,TUR,1006,Rice,kg,75000.0,39945.0
X,76,BRA,826,GBR,1006,Rice,kg,59530.0,40640.0
X,76,BRA,842,USA,1006,Rice,kg,29273264.0,15638930.0
X,76,BRA,858,URY,1006,Rice,kg,124315.0,287805.0
X,76,BRA,862,VEN,1006,Rice,kg,26900531.0,16342125.0
X,76,BRA,0,W00,1007,Grain sorghum,kg,583715.0,674381.0
X,76,BRA,24,AGO,1007,Grain sorghum,kg,4400.0,39160.0
X,76,BRA,68,BOL,1007,Grain sorghum,kg,180440.0,297949.0
X,76,BRA,490,S19,1007,Grain sorghum,kg,264180.0,54157.0
X,76,BRA,508,MOZ,1007,Grain sorghum,kg,1000.0,6000.0
X,76,BRA,600,PRY,1007,Grain sorghum,kg,6250.0,23095.0
X,76,BRA,716,ZWE,1007,Grain sorghum,kg,17.0,18.0
X,76,BRA,784,ARE,1007,Grain sorghum,kg,52440.0,10540.0
X,76,BRA,858,URY,1007,Grain sorghum,kg,74988.0,243462.0
X,76,BRA,0,W00,1008,"Buckwheat, millet and canary seeds; other cereals",kg,2477835.0,1088448.0
X,76,BRA,24,AGO,1008,"Buckwheat, millet and canary seeds; other cereals",kg,158.0,2579.0
X,76,BRA,68,BOL,1008,"Buckwheat, millet and canary seeds; other cereals",kg,150.0,354.0
X,76,BRA,152,CHL,1008,"Buckwheat, millet and canary seeds; other cereals",kg,48.0,542.0
X,76,BRA,156,CHN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,30.0,342.0
X,76,BRA,392,JPN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,2465337.0,1067581.0
X,76,BRA,591,PAN,1008,"Buckwheat, millet and canary seeds; other cereals",kg,106.0,1839.0
X,76,BRA,600,PRY,1008,"Buckwheat, millet and canary seeds; other cereals",kg,9981.0,7951.0
X,76,BRA,620,PRT,1008,"Buckwheat, millet and canary seeds; other cereals",kg,510.0,687.0
X,76,BRA,826,GBR,1008,"Buckwheat, millet and canary seeds; other cereals",kg,1200.0,1607.0
X,76,BRA,842,USA,1008,"Buckwheat, millet and canary seeds; other cereals",kg,15.0,138.0
X,76,BRA,858,URY,1008,"Buckwheat, millet and canary seeds; other cereals",kg,300.0,4828.0
X,76,BRA,0,W00,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,786.0,59374.0
X,76,BRA,24,AGO,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,375.0,1999.0
X,76,BRA,68,BOL,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,183.0,2011.0
X,76,BRA,214,DOM,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,4.0,6.0
X,76,BRA,251,FRA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,6.0,1116.0
X,76,BRA,842,USA,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,6.0,1265.0
X,76,BRA,858,URY,1401,"Vegetable materials of a kind used primarily for plaiting; (e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw and lime bark)",kg,212.0,52977.0
X,76,BRA,0,W00,1404,Vegetable products not elsewhere specified or included,kg,24353611.314,18586619.0
X,76,BRA,24,AGO,1404,Vegetable products not elsewhere specified or included,kg,3.0,202.0
X,76,BRA,32,ARG,1404,Vegetable products not elsewhere specified or included,kg,39.0,1072.0
X,76,BRA,56,BEL,1404,Vegetable products not elsewhere specified or included,kg,18050.0,48135.0
X,76,BRA,124,CAN,1404,Vegetable products not elsewhere specified or included,kg,18549.0,19293.0
X,76,BRA,156,CHN,1404,Vegetable products not elsewhere specified or included,kg,4706778.0,2847306.0
X,76,BRA,276,DEU,1404,Vegetable products not elsewhere specified or included,kg,14665.0,54006.0
X,76,BRA,344,HKG,1404,Vegetable products not elsewhere specified or included,kg,18000.0,9000.0
X,76,BRA,348,HUN,1404,Vegetable products not elsewhere specified or included,kg,36.0,1008.0
X,76,BRA,360,IDN,1404,Vegetable products not elsewhere specified or included,kg,162550.0,101888.0
X,76,BRA,380,ITA,1404,Vegetable products not elsewhere specified or included,kg,1088694.0,1131969.0
X,76,BRA,392,JPN,1404,Vegetable products not elsewhere specified or included,kg,10260835.0,7604275.0
X,76,BRA,484,MEX,1404,Vegetable products not elsewhere specified or included,kg,200.0,350.0
X,76,BRA,528,NLD,1404,Vegetable products not elsewhere specified or included,kg,148.446,4396.0
X,76,BRA,600,PRY,1404,Vegetable products not elsewhere specified or included,kg,144.0,5188.0
X,76,BRA,604,PER,1404,Vegetable products not elsewhere specified or included,kg,247722.0,1157931.0
X,76,BRA,620,PRT,1404,Vegetable products not elsewhere specified or included,kg,2.868,4.0
X,76,BRA,710,ZAF,1404,Vegetable products not elsewhere specified or included,kg,19.0,120.0
X,76,BRA,724,ESP,1404,Vegetable products not elsewhere specified or included,kg,6446967.0,4334328.0
X,76,BRA,792,TUR,1404,Vegetable products not elsewhere specified or included,kg,210300.0,108686.0
X,76,BRA,818,EGY,1404,Vegetable products not elsewhere specified or included,kg,699800.0,372400.0
X,76,BRA,826,GBR,1404,Vegetable products not elsewhere specified or included,kg,11000.0,39600.0
X,76,BRA,842,USA,1404,Vegetable products not elsewhere specified or included,kg,448999.0,741074.0
X,76,BRA,858,URY,1404,Vegetable products not elsewhere specified or included,kg,110.0,4388.0
X,76,BRA,0,W00,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,230481.0,890755.0
X,76,BRA,24,AGO,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,2323.0,19085.0
X,76,BRA,32,ARG,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,12768.0,47849.0
X,76,BRA,36,AUS,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1146.0,8246.0
X,76,BRA,56,BEL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,313.0,3244.0
X,76,BRA,68,BOL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,5915.0,19461.0
X,76,BRA,124,CAN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1048.0,5831.0
X,76,BRA,132,CPV,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,248.0,892.0
X,76,BRA,218,ECU,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,12.0,3.0
X,76,BRA,226,GNQ,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,30.0,219.0
X,76,BRA,392,JPN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,21672.0,65508.0
X,76,BRA,528,NLD,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,982.0,22455.0
X,76,BRA,554,NZL,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,56.0,615.0
X,76,BRA,591,PAN,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,1207.0,9959.0
X,76,BRA,600,PRY,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,144261.0,381929.0
X,76,BRA,604,PER,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,38.0,250.0
X,76,BRA,620,PRT,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,2533.0,19115.0
X,76,BRA,678,STP,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,45.0,213.0
X,76,BRA,682,SAU,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,144.0,1256.0
X,76,BRA,784,ARE,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,648.0,4388.0
X,76,BRA,826,GBR,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,4727.0,29369.0
X,76,BRA,842,USA,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,21365.0,232877.0
X,76,BRA,858,URY,2001,"Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid",kg,9000.0,17991.0
X,76,BRA,0,W00,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,2034815.0,2704526.0
X,76,BRA,24,AGO,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,30000.0,55756.0
X,76,BRA,32,ARG,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,49393.0,174177.0
X,76,BRA,68,BOL,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,737257.0,1102619.0
X,76,BRA,132,CPV,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,3101.0,2300.0
X,76,BRA,152,CHL,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,3975.0,4074.0
X,76,BRA,192,CUB,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,69216.0,109706.0
X,76,BRA,392,JPN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,40465.0,91148.0
X,76,BRA,591,PAN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,764.0,1311.0
X,76,BRA,600,PRY,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,1021061.0,1052586.0
X,76,BRA,659,KNA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,26.0,36.0
X,76,BRA,784,ARE,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,5081.0,29306.0
X,76,BRA,842,USA,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,7383.0,22915.0
X,76,BRA,858,URY,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,65430.0,55303.0
X,76,BRA,862,VEN,2002,Tomatoes; prepared or preserved otherwise than by vinegar or acetic acid,kg,1663.0,3289.0
X,76,BRA,0,W00,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,25292.338,156252.0
X,76,BRA,24,AGO,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,178.0,1822.0
X,76,BRA,68,BOL,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,690.0,5074.0
X,76,BRA,132,CPV,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,35.0,361.0
X,76,BRA,226,GNQ,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,8.0,84.0
X,76,BRA,392,JPN,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,23.338,374.0
X,76,BRA,600,PRY,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,21929.0,131788.0
X,76,BRA,842,USA,2003,"Mushrooms and truffles, prepared or preserved other than by vinegar or acetic acid",kg,2429.0,16749.0
X,76,BRA,0,W00,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,1117.0,2987.0
X,76,BRA,251,FRA,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,55.0,818.0
X,76,BRA,328,GUY,2004,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading no. 2006",kg,1062.0,2169.0
X,76,BRA,0,W00,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,28915210.0,30544991.0
X,76,BRA,24,AGO,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,601605.0,451335.0
X,76,BRA,28,ATG,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,2652.0,2700.0
X,76,BRA,32,ARG,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,10245296.0,10071626.0
X,76,BRA,36,AUS,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,970.0,5827.0
X,76,BRA,52,BRB,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,23460.0,20168.0
X,76,BRA,56,BEL,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,84.0,1740.0
X,76,BRA,68,BOL,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1866079.0,2349552.0
X,76,BRA,124,CAN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1046.0,7019.0
X,76,BRA,132,CPV,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,41260.0,47281.0
X,76,BRA,152,CHL,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,9048.0,13264.0
X,76,BRA,156,CHN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,12.0,108.0
X,76,BRA,170,COL,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,85719.0,100181.0
X,76,BRA,251,FRA,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,45.0,324.0
X,76,BRA,276,DEU,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,7.0,4.0
X,76,BRA,344,HKG,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,24.0,239.0
X,76,BRA,376,ISR,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1786.0,19166.0
X,76,BRA,380,ITA,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,45.0,273.0
X,76,BRA,392,JPN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,21672.0,43394.0
X,76,BRA,410,KOR,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1440.0,1530.0
X,76,BRA,484,MEX,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,454.0,4343.0
X,76,BRA,528,NLD,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,1486.0,13248.0
X,76,BRA,554,NZL,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,269.0,2128.0
X,76,BRA,591,PAN,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,166.0,1055.0
X,76,BRA,600,PRY,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,6479844.0,6183900.0
X,76,BRA,620,PRT,2005,"Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006",kg,4021.0,7329.0
